,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
139,635,708,8,12,66,7,32,99
140,1658,709,10,10,75,30,28,102
141,741,710,9,8,50,15,22,106
142,431,712,21,17,165,21,47,119
143,315,717,12,8,65,11,27,94
144,1376,717,10,9,59,8,25,97
145,238,718,9,9,56,9,24,94
146,1510,718,8,7,45,12,21,97
147,1595,721,8,7,37,16,19,93
148,289,723,9,15,75,11,35,93
149,594,723,20,10,127,27,45,110
150,1354,723,24,21,207,13,3,110
151,1686,722,20,23,194,28,57,111
152,668,725,8,10,47,10,22,101
153,766,724,11,12,95,71,32,114
154,888,724,14,9,81,26,30,109
155,1082,724,26,26,214,23,70,117
156,1344,731,8,9,47,10,25,102
157,342,732,8,11,56,5,29,94
158,402,733,12,11,84,22,33,100
159,616,733,7,7,31,11,17,99
160,746,732,12,12,91,9,29,105
161,850,736,10,13,95,13,31,106
162,876,737,26,11,156,20,55,107
163,1230,737,10,13,90,24,33,108
164,1630,736,14,11,102,22,35,101
165,301,738,7,12,55,8,25,93
166,1385,740,10,9,51,16,23,104
167,1648,741,12,13,100,31,32,108
168,696,743,14,16,139,67,43,126
169,1726,749,9,9,57,11,23,100
170,1602,751,14,9,88,26,31,101
171,436,753,19,15,124,14,44,110
172,1115,755,11,9,61,12,25,99
173,893,760,30,27,313,18,98,118
174,1182,768,8,10,48,9,21,102
175,1693,770,10,11,85,43,27,105
176,294,773,9,11,58,11,24,94
177,1101,772,10,31,210,54,69,129
178,1211,776,10,8,62,30,24,105
179,1281,783,12,9,68,9,27,100
180,625,785,12,15,103,10,34,104
181,1663,785,12,12,105,88,30,117
182,1599,786,16,21,189,32,60,113
183,391,789,8,9,58,25,23,99
184,657,788,10,11,80,41,27,108
185,1260,791,17,33,268,19,80,114
186,1682,792,11,13,80,11,28,98
187,1177,794,8,13,76,8,31,101
188,1725,795,8,8,33,7,22,98
189,779,799,16,10,91,12,35,105
190,1228,799,13,12,109,18,34,107
191,1086,801,6,12,40,6,24,98
192,303,803,10,11,88,40,28,101
193,1060,807,10,13,94,18,34,107
194,1555,806,17,12,122,32,37,112
195,861,808,8,9,54,13,22,100
196,729,812,11,14,99,16,33,108
197,671,815,17,11,128,31,39,112
198,378,816,10,9,60,10,22,95
199,1159,821,10,9,60,10,25,102
200,1723,821,9,11,38,7,28,91
201,698,822,8,7,43,7,19,96
202,791,824,11,12,99,25,30,108
203,868,824,20,20,182,17,67,107
204,1580,824,11,9,83,54,30,102
205,1106,826,12,12,94,14,34,105
206,1620,827,10,12,86,24,29,99
207,390,828,10,11,83,41,26,101
